id,num,diff
1697218952.5947855,1,0.000721
1697218952.5952563,2,0.005695
1697218952.5956213,3,0.005397
1697218952.5959926,4,0.005069
1697218952.5963542,5,0.004755
1697218952.5968282,6,0.004328
1697218952.5971963,7,0.004014
1697218952.5975516,8,0.003716
1697218952.5978947,9,0.003422
1697218952.5982432,10,0.003119
1697218952.5985878,11,0.002820
1697218952.598927,12,0.002527
1697218952.5992653,13,0.002229
1697218952.5996006,14,0.001940
1697218952.5999508,15,0.001635
1697218952.6002927,16,0.001341
1697218952.6008952,17,0.000853
1697218952.6013012,18,0.000515
1697218952.6017134,19,0.000469
1697218952.6021535,20,0.000340
1697218952.6025677,21,0.000227
1697218952.6028211,22,0.000202
1697218952.6030571,23,0.000254
1697218952.6033685,24,0.000227
1697218952.6036253,25,0.000166
1697218952.6038299,26,0.000169
1697218952.6040604,27,0.000175
1697218952.60428,28,0.000169
1697218952.6044962,29,0.000272
1697218952.6047485,30,0.000469
1697218952.6048923,31,0.000379
1697218952.6050358,32,0.000278
1697218952.6051898,33,0.000242
1697218952.6053417,34,0.000197
1697218952.6055975,35,0.000219
1697218952.6058476,36,0.000174
1697218952.6060266,37,0.000148
1697218952.6062186,38,0.000154
1697218952.6064081,39,0.000169
1697218952.6066291,40,0.000168
1697218952.6068337,41,0.000173
1697218952.6070056,42,0.000140
1697218952.6071885,43,0.000146
1697218952.6073744,44,0.000148
1697218952.6075318,45,0.000149
1697218952.6077256,46,0.000153
1697218952.6079059,47,0.000169
1697218952.6080959,48,0.000141
1697218952.6082141,49,0.000145
1697218952.6083286,50,0.000143
1697218952.6084876,51,0.000192
1697218952.6087019,52,0.000158
1697218952.6088886,53,0.000171
1697218952.6090772,54,0.000152
1697218952.6092541,55,0.000161
1697218952.6094527,56,0.000151
1697218952.6096251,57,0.000158
1697218952.6098289,58,0.000151
1697218952.6100194,59,0.000176
1697218952.6102166,60,0.000153
1697218952.6103985,61,0.000153
1697218952.6105828,62,0.000154
1697218952.6107659,63,0.000155
1697218952.6109524,64,0.000153
1697218952.6111305,65,0.000152
1697218952.6113143,66,0.000151
1697218952.6115048,67,0.000151
1697218952.6116989,68,0.000157
1697218952.6118779,69,0.000182
1697218952.6120718,70,0.000147
1697218952.6122591,71,0.000153
1697218952.6124434,72,0.000206
1697218952.6126432,73,0.000197
1697218952.6127825,74,0.000185
1697218952.6129067,75,0.000199
1697218952.6130364,76,0.000154
1697218952.6131647,77,0.000162
1697218952.6132956,78,0.000138
1697218952.6134868,79,0.000177
1697218952.6136899,80,0.000183
1697218952.6138704,81,0.000154
1697218952.6140692,82,0.000149
1697218952.6142592,83,0.000183
1697218952.6144552,84,0.000149
1697218952.6146452,85,0.000150
1697218952.6148405,86,0.000153
1697218952.6150222,87,0.000185
