id,num,diff
1697448891.247901,1,0.003068
1697448891.2484059,2,0.002248
1697448891.2485571,3,0.003542
1697448891.248642,4,0.004267
1697448891.248708,5,0.004403
1697448891.2487719,6,0.004475
1697448891.2488849,7,0.004568
1697448891.248991,8,0.004695
1697448891.2491021,9,0.004726
1697448891.2493629,10,0.004602
1697448891.24944,11,0.004642
1697448891.2497029,12,0.004591
1697448891.249753,13,0.004834
1697448891.2498081,14,0.005060
1697448891.2498541,15,0.005179
1697448891.2498989,16,0.005348
1697448891.249954,17,0.005364
1697448891.2500191,18,0.005394
1697448891.250067,19,0.005640
1697448891.250113,20,0.005702
1697448891.2501581,21,0.005746
1697448891.2502041,22,0.005902
1697448891.2502501,23,0.005991
1697448891.250304,24,0.006139
1697448891.250351,25,0.006187
1697448891.250397,26,0.006292
1697448891.250484,27,0.006489
1697448891.2505331,28,0.006521
1697448891.2505791,29,0.006562
1697448891.2506239,30,0.006686
1697448891.25067,31,0.006761
1697448891.2507219,32,0.007079
1697448891.2507679,33,0.007161
1697448891.2508149,34,0.007222
1697448891.25086,35,0.007332
1697448891.250927,36,0.007373
1697448891.250968,37,0.007418
1697448891.2518129,38,0.006742
1697448891.2521579,39,0.006479
1697448891.2522049,40,0.006560
1697448891.252382,41,0.006494
1697448891.2525201,42,0.006417
1697448891.252562,43,0.006482
1697448891.252598,44,0.006524
1697448891.252634,45,0.006599
1697448891.25267,46,0.006769
1697448891.2527061,47,0.006849
1697448891.2527471,48,0.007024
1697448891.25279,49,0.007093
1697448891.253021,50,0.007003
1697448891.2531321,51,0.006955
1697448891.253197,52,0.007062
1697448891.253269,53,0.007120
1697448891.253334,54,0.007255
1697448891.2533879,55,0.007293
1697448891.253453,56,0.007460
1697448891.2535059,57,0.007498
1697448891.2536399,58,0.007457
1697448891.2536881,59,0.007715
1697448891.25372,60,0.007778
1697448891.2537539,61,0.007835
1697448891.2537971,62,0.007890
1697448891.2538271,63,0.008077
1697448891.253859,64,0.008128
1697448891.254003,65,0.008089
1697448891.2540801,66,0.008114
1697448891.254148,67,0.008479
1697448891.25425,68,0.008469
1697448891.254308,69,0.008659
1697448891.2543449,70,0.008703
1697448891.254406,71,0.008732
1697448891.254544,72,0.008745
1697448891.2546101,73,0.008746
1697448891.254674,74,0.008929
1697448891.2547369,75,0.008929
1697448891.254797,76,0.009158
1697448891.2548649,77,0.009189
1697448891.254977,78,0.009127
1697448891.255039,79,0.009161
1697448891.2550981,80,0.009194
1697448891.2551651,81,0.009182
1697448891.255223,82,0.009425
1697448891.2552841,83,0.009507
1697448891.255347,84,0.009607
1697448891.25541,85,0.009627
1697448891.2554669,86,0.009743
1697448891.2555251,87,0.009787
1697448891.2555909,88,0.009767
1697448891.255662,89,0.009984
1697448891.2557261,90,0.010032
1697448891.2557881,91,0.010201
1697448891.2558539,92,0.010211
1697448891.2559161,93,0.010617
1697448891.2559741,94,0.010737
1697448891.256032,95,0.010786
1697448891.256094,96,0.010818
1697448891.256151,97,0.010960
1697448891.2562079,98,0.011294
1697448891.256269,99,0.011380
1697448891.2563269,100,0.011469
1697448891.256506,101,0.011571
1697448891.2565839,102,0.011517
1697448891.2566459,103,0.011528
1697448891.2566941,104,0.011600
1697448891.256743,105,0.011645
1697448891.256799,106,0.011653
1697448891.2568531,107,0.011701
1697448891.2569001,108,0.011732
1697448891.256948,109,0.011862
1697448891.256995,110,0.012007
1697448891.2570391,111,0.012039
1697448891.2570879,112,0.012064
1697448891.257138,113,0.012295
