id,num,diff
1696965081.249676,1,0.004626
1696965081.2508976,2,0.009437
1696965081.2515466,3,0.012800
1696965081.2546668,4,0.009891
1696965081.2564657,5,0.008331
1696965081.2509007,6,0.014153
1696965081.2527685,7,0.012383
1696965081.2558949,8,0.009344
1696965081.2506278,9,0.014696
1696965081.2534366,10,0.012366
1696965081.2510705,11,0.014841
1696965081.2499442,12,0.016059
1696965081.2497203,13,0.016401
1696965081.2515571,14,0.014672
1696965081.2606878,15,0.005600
1696965081.2498081,16,0.016598
1696965081.2626927,17,0.003821
1696965081.2632837,18,0.003758
1696965081.2627039,19,0.004498
1696965081.2633724,20,0.003902
1696965081.2633576,21,0.003972
1696965081.2605393,22,0.006850
1696965081.2618392,23,0.005601
1696965081.2661676,24,0.001331
1696965081.266866,25,0.000840
1696965081.2645552,26,0.003241
1696965081.2650738,27,0.002807
1696965081.2672536,28,0.000715
1696965081.2676246,29,0.000689
1696965081.2653837,30,0.003199
1696965081.2674353,31,0.001207
1696965081.2662811,32,0.002531
1696965081.2670088,33,0.001938
1696965081.26477,34,0.004236
1696965081.2651796,35,0.003873
1696965081.2675192,36,0.001935
1696965081.267858,37,0.001690
1696965081.2656848,38,0.004762
1696965081.2696311,39,0.000917
1696965081.2663589,40,0.004258
1696965081.2677288,41,0.002947
1696965081.2684166,42,0.002305
1696965081.2675636,43,0.003206
1696965081.2659631,44,0.004875
1696965081.2700765,45,0.000922
1696965081.270155,46,0.001050
1696965081.2672865,47,0.003973
1696965081.2690933,48,0.002406
1696965081.268688,49,0.002863
1696965081.2683618,50,0.003238
1696965081.2702119,51,0.001432
1696965081.267967,52,0.003724
1696965081.2691965,53,0.002539
1696965081.2692776,54,0.002495
1696965081.2686036,55,0.003213
1696965081.2700143,56,0.001840
1696965081.2710519,57,0.000847
1696965081.2652884,58,0.006672
1696965081.2655802,59,0.006427
1696965081.2660751,60,0.005977
1696965081.2664754,61,0.005620
1696965081.267451,62,0.004694
1696965081.2675319,63,0.004655
1696965081.2675743,64,0.004661
1696965081.2679451,65,0.004340
1696965081.2681711,66,0.004157
1696965081.2688749,67,0.003505
1696965081.2691307,68,0.003297
1696965081.269172,69,0.003306
1696965081.2692676,70,0.003253
1696965081.269531,71,0.003042
1696965081.2697399,72,0.004170
1696965081.2698524,73,0.009651
1696965081.2705753,74,0.002144
1696965081.2713385,75,0.001423
1696965081.2654035,76,0.007409
1696965081.270366,77,0.002490
1696965081.2663131,78,0.006593
1696965081.268374,79,0.004582
1696965081.2695656,80,0.003434
1696965081.2682335,81,0.004815
1696965081.2707663,82,0.002325
1696965081.2680235,83,0.005123
1696965081.2688048,84,0.004392
1696965081.2689362,85,0.004302
1696965081.2681799,86,0.005212
1696965081.2689824,87,0.004451
1696965081.2664044,88,0.007119
1696965081.2680862,89,0.005486
1696965081.270474,90,0.003145
1696965081.2683654,91,0.005296
1696965081.2682922,92,0.005405
1696965081.2672777,93,0.006462
1696965081.2693846,94,0.004393
1696965081.268111,95,0.005709
1696965081.2697036,96,0.004155
1696965081.2697992,97,0.004102
1696965081.2782369,98,0.000273
1696965081.2782762,99,0.000329
1696965081.2788219,100,0.000461
1696965081.2788794,101,0.000547
1696965081.2791362,102,0.000611
1696965081.2793918,103,0.000810
1696965081.2782974,104,0.002670
1696965081.2799473,105,0.001298
1696965081.2802699,106,0.001152
1696965081.2802362,107,0.001551
1696965081.2713399,108,0.010503
1696965081.2792566,109,0.002662
1696965081.2800276,110,0.003470
1696965081.2804251,111,0.003126
1696965081.2802997,112,0.003328
1696965081.2805419,113,0.003142
1696965081.2807505,114,0.003000
1696965081.2811587,115,0.002713
1696965081.2815108,116,0.002453
1696965081.2808149,117,0.003230
1696965081.2808557,118,0.003248
1696965081.2816591,119,0.003634
1696965081.2820969,120,0.003410
1696965081.2820873,121,0.003555
1696965081.2821815,122,0.003560
1696965081.2822785,123,0.003785
1696965081.2822633,124,0.004066
1696965081.2823963,125,0.004003
1696965081.2824409,126,0.017394
1696965081.2825565,127,0.004084
1696965081.2825997,128,0.009452
1696965081.2826908,129,0.004975
1696965081.2708859,130,0.016830
1696965081.2828596,131,0.004913
1696965081.2830248,132,0.004794
1696965081.2832251,133,0.004648
1696965081.2834873,134,0.004429
1696965081.2836266,135,0.004337
1696965081.2837319,136,0.004292
1696965081.2838137,137,0.004273
1696965081.2840934,138,0.004047
1696965081.2842574,139,0.003927
1696965081.2811532,140,0.018985
1696965081.2847214,141,0.003582
1696965081.2856431,142,0.002740
1696965081.2825282,143,0.005919
1696965081.2821693,144,0.006324
1696965081.2822893,145,0.006272
1696965081.2845383,146,0.004097
1696965081.2824228,147,0.006279
1696965081.2842438,148,0.004530
1696965081.2843912,149,0.004863
1696965081.2841253,150,0.005216
1696965081.2839217,151,0.005485
1696965081.2828279,152,0.006641
1696965081.2709424,153,0.018599
1696965081.2829237,154,0.006687
1696965081.2830815,155,0.006592
1696965081.2832816,156,0.006447
1696965081.2837768,157,0.006019
1696965081.2833481,158,0.006494
1696965081.2829654,159,0.007074
1696965081.2709816,160,0.019129
1696965081.2830496,161,0.007128
1696965081.2828801,162,0.007363
1696965081.2863674,163,0.003940
1696965081.2839842,164,0.006391
1696965081.2857325,165,0.004699
1696965081.2861619,166,0.004338
1696965081.2827556,167,0.007806
1696965081.2865815,168,0.004042
1696965081.2858984,169,0.004897
1696965081.2857971,170,0.005068
1696965081.2836123,171,0.007980
1696965081.2859566,172,0.005733
1696965081.2851145,173,0.006669
1696965081.285305,174,0.006591
1696965081.280968,175,0.010984
1696965081.2853703,176,0.006647
1696965081.2860837,177,0.018305
1696965081.283371,178,0.010069
1696965081.2812953,179,0.012222
1696965081.2867594,180,0.006821
1696965081.2867754,181,0.006864
1696965081.2897835,182,0.003903
1696965081.2873096,183,0.006441
1696965081.2810409,184,0.012779
1696965081.2871795,185,0.006707
1696965081.2813535,186,0.012601
1696965081.2834311,187,0.010567
1696965081.2865005,188,0.009428
1696965081.293216,189,0.000893
1696965081.2810853,190,0.013076
1696965081.288552,191,0.005665
1696965081.2813952,192,0.012891
1696965081.2867396,193,0.007612
1696965081.2887812,194,0.005628
1696965081.2847061,195,0.009768
1696965081.2889419,196,0.005905
1696965081.2892504,197,0.005681
1696965081.2847807,198,0.010544
1696965081.2946,199,0.000798
1696965081.2887084,200,0.006750
1696965081.295083,201,0.000426
1696965081.2921557,202,0.003403
1696965081.2870545,203,0.008564
1696965081.2891579,204,0.006513
1696965081.2869191,205,0.008809
1696965081.2870381,206,0.009014
1696965081.2871563,207,0.008953
1696965081.2873445,208,0.008814
1696965081.287549,209,0.008662
1696965081.2877102,210,0.008545
1696965081.2881818,211,0.008126
1696965081.2885766,212,0.007775
1696965081.2889583,213,0.007437
1696965081.2890921,214,0.007356
1696965081.2892842,215,0.007210
1696965081.2894444,216,0.007111
1696965081.2904351,217,0.006160
1696965081.2903845,218,0.006262
1696965081.2907493,219,0.005949
1696965081.2907653,220,0.005975
1696965081.2909749,221,0.005817
1696965081.2909675,222,0.005888
